,tailnum,origin,dest,qa_year_month_day,qa_hour_minute,qa_dep_arr_time,qa_dep_arr_delay,qa_carrier,qa_tailnum,qa_flight,qa_origin_dest,qa_air_time,qa_distance,qa_distance_airtime
5880,N643JB,PDX,LGB,,,,,,,,,,,TR
5881,N8315C,PDX,MDW,,,,,,,,,,,TR
5882,N453AS,SEA,PSP,,,,,,,F,,,,TL
5883,N27213,PDX,IAH,,,FD,,,F,,,,,TR
5884,N320AS,SEA,ORD,,,,,,,F,,,,TL
5885,N627AS,SEA,ONT,,,,,,,F,,,,TL
5886,N223AG,PDX,BUR,,,,,,,,,,,TR
5887,N810SK,SEA,LAS,,,,,,,,,,,TR
5888,N929SW,SEA,LAX,,,,,,,,,,,TL
5889,N711ZX,SEA,JFK,,,,,,,F,,,,TL
5890,N433AS,SEA,HNL,,,,,,,F,,,,TL
5891,N301YV,SEA,PDX,,,,,,,,,,,TR
5892,N634JB,SEA,BOS,,,,,,,F,,,,TL
5893,N307AS,SEA,MCI,,,,,,,F,,,,TR
5894,N223SW,PDX,EUG,,,,,,,,,,,TR
5895,N459UA,PDX,SFO,,,,,,,F,,,,TL
5896,N3FFAA,SEA,ORD,,,,,,F,,,,,TL
5897,N609AS,SEA,BUR,,,,,,,F,,,,TL
5898,N726SK,SEA,SFO,,,,,,,,,,,TL
5899,N549CA,SEA,SJC,,,,,,,,,,,TL
5900,N778AS,SEA,SJC,,,,,,,F,,,,TR
5901,N4WMAA,PDX,DFW,,,,,,F,,,,,TR
5902,N216FR,SEA,DEN,,,,,,,F,,,,TR
5903,N431AS,SEA,LAS,,,FA,,,,F,,,,TL
5904,N417WN,PDX,RNO,,,,,,,,,,,TR
5905,N853VA,SEA,SFO,,,,,,,F,,,,TR
5906,N290SW,SEA,PDX,,,,,,,,,,,TR
5907,N655DL,SEA,JFK,,,,,,,,,,,TL
5908,N532AS,PDX,SFO,,,,,,,F,,,,TL
5909,N453UA,SEA,SFO,,,,,,,F,,,,TR
5910,N419AS,SEA,MSP,,,,,,,F,,,,TR
5911,N633AW,SEA,PHX,,,,,,,F,,,,TR
5912,N320AS,SEA,LAS,,,,,,,F,,,,TL
5913,N3HNAA,SEA,ORD,,,,,,F,F,,,,TL
5914,N649DL,SEA,SLC,,,,,,,,,,,TR
5915,N111US,PDX,CLT,,,,,,,,,,,TL
5916,N551AS,SEA,TUS,,,,,,,F,,,,TL
5917,N616QX,SEA,GEG,,,,,,,,,,,TR
5918,N622AS,PDX,SNA,,,,,,,F,,,,TL
5919,N453AS,SEA,ORD,,,FD,,,,F,,,,TR
5920,N480UA,SEA,SFO,,,,,,,F,,,,TR
5921,N532AS,SEA,LIH,,,,,,,F,,,,TL
5922,N8620H,PDX,LAS,,,,,,,F,,,,TR
5923,N453AS,PDX,LAX,,,,,,,F,,,,TR
5924,N613AS,SEA,SFO,,,,,,,F,,,,TL
5925,N585SW,SEA,PDX,,,,,,,,,,,TR
5926,N558AS,SEA,DEN,,,,,,,F,,,,TL
5927,N419AS,SEA,KOA,,,,,,,F,,,,TL
5928,N628VA,SEA,SFO,,,,,,,F,,,,TL
5929,N664DN,SEA,SLC,,,,,,,,,,,TR
5930,N221FR,PDX,DEN,,,,,,,F,,,,TR
5931,N611AS,SEA,SNA,,,,,,,F,,,,TL
5932,N215AG,SEA,LGB,,,,,,,,,,,TL
5933,N3AFAA,SEA,DFW,,,,,,F,F,,,,TR
5934,N570JB,SEA,LGB,,,,,,,F,,,,TL
5935,N596AS,SEA,LAX,,,,,,,F,,,,TL
5936,N393DA,SEA,DTW,,,,,,,F,,,,TL
5937,N3KFAA,SEA,DFW,,,,,,F,,,,,TL
5938,N717TW,SEA,ATL,,,,,,,,,,,TR
5939,N528AS,SEA,ANC,,,,,,,F,,,,TL
5940,N818DA,PDX,ATL,,,,,,,,,,,TL
5941,N609AS,SEA,FAI,,,,,,,F,,,,TL
5942,N435AS,SEA,IAH,,,,,,,F,,,,TL
5943,N907WN,SEA,MKE,,,,,,,,,,,TR
5944,N402AS,PDX,ANC,,,,,,,F,,,,TL
5945,N465UA,SEA,IAD,,,,,,,F,,,,TL
5946,N529AS,PDX,OGG,,,,,,,F,,,,TL
5947,N123UW,SEA,PHL,,,FD,,,,,,,,TL
5948,N423AS,SEA,LAS,,,,,,,F,,,,TL
5949,N407AS,SEA,SAN,,,,,,,F,,,,TL
5950,N6712B,SEA,JFK,,,,,,,,,,,TR
5951,N584AS,SEA,LAX,,,,,,,F,,,,TL
5952,N660DL,SEA,MSP,,,,,,,,,,,TL
5953,N391DA,SEA,ANC,,,,,,,,,,,TL
5954,N644AS,SEA,DEN,,,,,,,F,,,,TR
5955,N729JB,SEA,BOS,,,,,,,F,,,,TR
5956,N810SK,PDX,SEA,,,,,,,,,,,TR
5957,N563UA,SEA,SFO,,,,,,,F,,,,TR
5958,N614AS,PDX,ANC,,,,,,,F,,,,TL
5959,N535AS,SEA,SAN,,,,,,,F,,,,TR
5960,N462AS,SEA,TPA,,,,,,,F,,,,TL
5961,N435AS,SEA,SLC,,,,,,,F,,,,TR
5962,N508AS,SEA,SJC,,,,,,,F,,,,TL
5963,N564AS,SEA,LAX,,,,,,,F,,,,TR
5964,N592AS,PDX,LAS,,,,,,,F,,,,TL
5965,N627AS,PDX,LAX,,,,,,,F,,,,TR
5966,N530VA,PDX,SFO,,,,,,,F,,,,TL
5967,N786AS,PDX,SNA,,,,,,,F,,,,TR
5968,N626AS,SEA,DEN,,,,,,,F,,,,TR
5969,N7735A,PDX,LAS,,,,,,,F,,,,TR
5970,N586AS,SEA,LAX,,,,,,,F,,,,TR
5971,N609AS,PDX,SFO,,,,,,,F,,,,TL
5972,N547US,SEA,LAX,,,,,,,F,,,,TL
5973,N473WN,PDX,LAS,,,,,,,,,,,TR
5974,N619SW,SEA,OAK,,,,,,,,,,,TL
5975,N702BR,SEA,LAX,,,,,,,,,,,TL
5976,N223AG,PDX,BUR,,,,,,,,,,,TR
5977,N508AS,SEA,KOA,,,,,,,F,,,,TL
5978,N512AS,SEA,HNL,,,,,,,F,,,,TL
5979,N710SW,SEA,BWI,,,,,,,,,,,TL
5980,N625AS,SEA,MSP,,,,,,,F,,,,TR
5981,N359NW,SEA,LAS,,,,,,,,,,,TL
5982,N627AS,SEA,BUR,,,,,,,F,,,,TR
5983,N224AG,SEA,LGB,,,,,,,,,,,TR
5984,N805DN,SEA,DTW,,,,,,,,,,,TL
5985,N220FR,SEA,DEN,,,,,,,F,,,,TR
5986,N538AS,SEA,SMF,,,,,,,F,,,,TR
5987,N805SK,SEA,LAX,,,,,,,,,,,TR
5988,N526AS,SEA,TPA,,,,,,,F,,,,TL
5989,N315AS,SEA,SAT,,,,,,,F,,,,TR
5990,N317AS,SEA,ANC,,,,,,,F,,,,TL
5991,N655DL,PDX,SLC,,,,,,,,,,,TR
5992,N3ESAA,SEA,DFW,,,,,,F,,,,,TL
5993,N786AS,SEA,JNU,,,,,,,F,,,,TL
5994,N224AG,SEA,OMA,,,,,,,,,,,TR
5995,N698DL,SEA,JNU,,,,,,,,,,,TL
5996,N565AA,PDX,DFW,,,,,,,,,,,TL
5997,N488UA,SEA,IAH,,,FD,,,,F,,,,TR
5998,N611AS,SEA,SNA,,,,,,,F,,,,TR
5999,N37253,SEA,SFO,,,,,,F,,,,,TR
6000,N903WN,SEA,SAN,,,,,,,F,,,,TR
6001,N201FR,SEA,DEN,,,,,,,F,,,,TL
6002,N8602F,PDX,MDW,,,,,,,F,,,,TL
6003,N217AG,SEA,COS,,,,,,,,,,,TR
6004,N224AG,SEA,LGB,,,,,,,,,,,TL
6005,N23708,PDX,ORD,,,,,,F,,,,,TR
6006,N796AS,SEA,KTN,,,,,,,F,,,,TL
6007,N3759,SEA,ANC,,,,,,F,,,,,TL
6008,N922FR,PDX,DEN,,,,,,,F,,,,TR
6009,N608SK,SEA,LAS,,,,,,,,,,,TL
6010,N611AS,SEA,DEN,,,,,,,F,,,,TR
6011,N597AS,PDX,SAN,,,,,,,F,,,,TR
6012,N408AS,SEA,BOS,,,,,,,F,,,,TL
6013,N381HA,SEA,OGG,,,,,,,F,,,,TL
6014,N218AG,SEA,LGB,,,,,,,,,,,TL
6015,N317WN,SEA,LAS,,,,,,,F,,,,TL
6016,N585AS,SEA,ANC,,,,,,,F,,,,TL
6017,N45440,SEA,EWR,,,,,,F,,,,,TL
6018,N585AS,SEA,LAX,,,,,,,F,,,,TR
6019,N213FR,PDX,DEN,,,,,,,F,,,,TR
6020,N193UW,SEA,CLT,,,,,,,F,,,,TL
6021,N548AS,SEA,SNA,,,,,,,F,,,,TL
6022,N269WN,PDX,LAS,,,,,,,F,,,,TR
6023,N219AG,PDX,BOI,,,,,,,,,,,TR
6024,N713AS,SEA,KTN,,,,,,,F,,,,TR
6025,N839UA,PDX,SFO,,,,,,,F,,,,TR
6026,N408AS,SEA,LAS,,,,,,,F,,,,TL
6027,N581NW,SEA,DTW,,,,,,,,,,,TR
