,tailnum,origin,dest,qa_year_month_day,qa_hour_minute,qa_dep_arr_time,qa_dep_arr_delay,qa_carrier,qa_tailnum,qa_flight,qa_origin_dest,qa_air_time,qa_distance,qa_distance_airtime
5695,N646SW,PDX,SMF,,,,,,,F,,,,TR
5696,N644AW,SEA,PHX,,,,,,,F,,,,TL
5697,N322NB,PDX,SLC,,,,,,,,,,,TR
5698,N303AS,PDX,LAX,,,,,,,F,,,,TR
5699,N762AS,SEA,KTN,,,,,,,F,,,,TL
5700,N219AG,PDX,ONT,,,,,,,,,,,TR
5701,N792AS,SEA,SFO,,,,,,,F,,,,TL
5702,N625AS,SEA,SNA,,,,,,,F,,,,TL
5703,N402AS,SEA,LAX,,,,,,,F,,,,TR
5704,N612AS,SEA,SNA,,,,,,,F,,,,TL
5705,N569AS,SEA,ANC,,,,,,,F,,,,TL
5706,N3742C,SEA,DTW,,,,,,,F,,,,TR
5707,N728SW,SEA,ABQ,,,,,,,F,,,,TR
5708,N3GHAA,SEA,ORD,,,FD,,,F,,,,,TR
5709,N396DA,SEA,LAX,,,,,,,,,,,TL
5710,N841VA,SEA,SFO,,,,,,,F,,,,TR
5711,N464AS,SEA,ATL,,,,,,,F,,,,TL
5712,N3752,PDX,JFK,,,,,,F,F,,,,TL
5713,N778SW,SEA,SJC,,,,,,,F,,,,TR
5714,N655AW,SEA,PHX,,,,,,,F,,,,TL
5715,N564AS,SEA,LAX,,,,,,,F,,,,TL
5716,N358NW,SEA,LAS,,,,,,,,,,,TL
5717,N524AS,SEA,MSY,,,,,,,F,,,,TL
5718,N218AG,PDX,SLC,,,,,,,,,,,TL
5719,N554JB,SEA,LGB,,,,,,,,,,,TL
5720,N625AW,SEA,PHX,,,,,,,F,,,,TR
5721,N642VA,SEA,SFO,,,,,,,F,,,,TL
5722,N525AS,SEA,JNU,,,,,,,F,,,,TL
5723,N400WN,SEA,DEN,,MH,MD,MD,,,,,M,,M
5724,N506AS,SEA,SAN,,,,,,,F,,,,TL
5725,N217SW,PDX,RDM,,,,,,,,,,,TR
5726,N606SK,SEA,LAX,,,,,,,,,,,TR
5727,N27421,SEA,ORD,,,,,,F,,,,,TR
5728,N795SW,SEA,ABQ,,,,,,,F,,,,TR
5729,N7746C,SEA,OAK,,,,,,,F,,,,TR
5730,N618WN,SEA,SJC,,,,,,,F,,,,TL
5731,N509AY,SEA,PHX,,,,,,,F,,,,TL
5732,N546AS,SEA,MCO,,,,,,,F,,,,TL
5733,N413AS,SEA,LAX,,,,,,,F,,,,TL
5734,N706AS,SEA,SFO,,,,,,,F,,,,TR
5735,N566SW,PDX,SEA,,,,,,,,,,,TR
5736,N815DN,PDX,ATL,,,,,,,,,,,TR
5737,N467UA,PDX,ORD,,,,,,,F,,,,TL
5738,N796SW,PDX,OAK,,,,,,,,,,,TR
5739,N779AS,PDX,SFO,,,,,,,F,,,,TL
5740,N925WN,PDX,PHX,,,,,,,F,,,,TL
5741,N533AS,SEA,HNL,,,,,,,F,,,,TL
5742,N617DL,SEA,JNU,,,,,,,F,,,,TR
5743,N215AG,PDX,ONT,,,,,,,,,,,TR
5744,N3JMAA,SEA,ORD,,,,,,F,,,,,TL
5745,N583SW,SEA,PDX,,,,,,,,,,,TR
5746,N658AW,PDX,CLT,,,,,,,F,,,,TS
5747,N7748A,PDX,OAK,,,,,,,F,,,,TR
5748,N597AS,SEA,SAN,,,,,,,F,,,,TL
5749,N403AS,SEA,LAS,,,,,,,F,,,,TR
5750,N630WN,SEA,DEN,,,,,,,,,,,TR
5751,N385HA,PDX,HNL,,,,,,,F,,,,TL
5752,N251WN,SEA,PHX,,,,,,,,,,,TR
5753,N626AS,PDX,ORD,,,,,,,F,,,,TL
5754,N579AS,PDX,SAN,,,,,,,F,,,,TR
5755,N14731,PDX,DEN,,,,,,F,,,,,TR
5756,N216AG,PDX,TUS,,,,,,,,,,,TR
5757,N313US,SEA,SLC,,,,,,,,,,,TR
5758,N638VA,SEA,LAX,,,,,,,,,,,TR
5759,N951DN,PDX,MSP,,,,,,,,,,,TR
5760,N983CA,PDX,SFO,,MH,MD,MD,,,,,M,,M
5761,N650AW,PDX,PHX,,,,,,,F,,,,TL
5762,N461AS,SEA,LAX,,,,,,,F,,,,TR
5763,N594HA,PDX,HNL,,,,,,,F,,,,TL
5764,N433UA,PDX,IAH,,,,,,,F,,,,TL
5765,N804DN,SEA,ATL,,,FD,,,,,,,,TR
5766,N409AS,SEA,ORD,,,,,,,F,,,,TL
5767,N814DN,PDX,ATL,,,,,,,,,,,TR
5768,N569AS,PDX,LIH,,,,,,,F,,,,TL
5769,N469AS,PDX,ANC,,,,,,,F,,,,TL
5770,N318AS,SEA,SJC,,,,,,,F,,,,TL
5771,N6708D,SEA,SLC,,,,,,,,,,,TR
5772,N625AS,SEA,SNA,,,,,,,F,,,,TL
5773,N537AS,SEA,SMF,,,,,,,F,,,,TR
5774,N678AW,SEA,PHX,,,,,,,F,,,,TL
5775,N556AS,SEA,SMF,,,,,,,F,,,,TR
5776,N530VA,PDX,SFO,,,,,,,F,,,,TL
5777,N564SW,PDX,RDM,,,,,,,,,,,TR
5778,N774SW,PDX,MDW,,,,,,,,,,,TR
5779,N16217,SEA,IAH,,,FA,,,F,,,,,TR
5780,N953SW,PDX,SFO,,MH,MD,MD,,,,,M,,M
5781,N403AS,SEA,MCO,,,,,,,F,,,,TL
5782,N579SW,PDX,SEA,,,,,,,,,,,TR
5783,N450WN,PDX,OAK,,,,,,,,,,,TR
5784,N18243,PDX,IAH,,,,,,F,,,,,TS
5785,N678DL,SEA,MSP,,,,,,,,,,,TR
5786,N223SW,SEA,PDX,,,,,,,,,,,TR
5787,N419AS,SEA,SJC,,,,,,,F,,,,TR
5788,N559UA,SEA,ORD,,,,,,,F,,,,TL
5789,N563UA,SEA,IAD,,,,,,,F,,,,TR
5790,N563JB,SEA,LGB,,,,,,,,,,,TL
5791,N760AS,SEA,ANC,,,,,,,F,,,,TL
5792,N369NW,PDX,MSP,,,FD,,,,,,,,TR
5793,N791AS,SEA,SJC,,,,,,,F,,,,TR
5794,N338NB,SEA,SLC,,,,,,,,,,,TR
5795,N788AS,SEA,SLC,,,,,,,F,,,,TL
5796,N610WN,PDX,LAS,,,,,,,,,,,TR
5797,N75429,SEA,IAH,,,,,,F,,,,,TR
5798,N512AS,PDX,HNL,,,,,,,F,,,,TL
5799,N609AS,SEA,LAS,,,,,,,F,,,,TR
5800,N613AS,SEA,SNA,,,,,,,F,,,,TR
5801,N237WN,SEA,HOU,,,,,,,,,,,TL
5802,N459UA,SEA,IAH,,,,,,,F,,,,TL
5803,N69816,PDX,SFO,,,,,,F,,,,,TR
5804,N495CA,PDX,SFO,,,,,,,,,,,TL
5805,N506JB,SEA,LGB,,,,,,,F,,,,TL
5806,N654DL,SEA,SLC,,,,,,,,,,,TR
5807,N799AS,SEA,SFO,,,,,,,F,,,,TR
5808,N3DMAA,SEA,ORD,,,,,,F,,,,,TR
5809,N3JMAA,SEA,ORD,,,,,,F,,,,,TR
5810,N3GYAA,SEA,ORD,,,,,,F,,,,,TR
5811,N534AS,SEA,LAS,,,,,,,F,,,,TR
5812,N36447,SEA,SFO,,,,,,F,,,,,TL
5813,N37287,SEA,IAH,,,,,,F,,,,,TL
5814,N409AS,SEA,LAX,,,,,,,F,,,,TR
5815,N320AS,SEA,MCI,,,,,,,F,,,,TR
5816,N796SW,PDX,OAK,,,,,,,,,,,TR
5817,N3764D,PDX,ATL,,,,,,,,,,,TR
5818,N309AS,SEA,LAS,,,,,,,F,,,,TL
5819,N902WN,SEA,PHX,,,,,,,,,,,TR
5820,N303AS,SEA,GEG,,,,,,,F,,,,TR
5821,N401UA,SEA,DEN,,,,,,,F,,,,TS
5822,N580SW,SEA,PDX,,MH,MD,MD,,,,,M,,M
5823,N37465,SEA,IAH,,,,,,F,,,,,TL
5824,N215AG,PDX,BUR,,,,,,,,,,,TR
5825,N689CA,SEA,LAS,,,,,,,,,,,TL
5826,N621AW,SEA,PHX,,,,,,,F,,,,TR
5827,N513AS,PDX,SAN,,,,,,,F,,,,TL
5828,N3KMAA,SEA,DFW,,,,,,F,,,,,TL
5829,N518AS,SEA,BLI,,,,,,,F,,,,TR
5830,N299WN,PDX,MDW,,,,,,,,,,,TR
5831,N923SW,PDX,SFO,,,,,,,,,,,TR
5832,N524VA,SEA,LAX,,,,,,,F,,,,TR
5833,N309AS,SEA,DFW,,,,,,,F,,,,TL
5834,N391DA,PDX,ATL,,,,,,,F,,,,TL
5835,N579UA,SEA,IAH,,,,,,,F,,,,TL
5836,N760AS,SEA,ANC,,,,,,,F,,,,TL
5837,N559AS,PDX,SJC,,,,,,,F,,,,TR
5838,N199UW,SEA,CLT,,,,,,,,,,,TR
5839,N73406,PDX,DEN,,,,,,F,,,,,TR
5840,N24202,PDX,ORD,,,,,,F,F,,,,TR
5841,N815DN,PDX,ATL,,,,,,,,,,,TL
5842,N806DN,PDX,ATL,,,,,,,,,,,TL
5843,N579AS,SEA,DEN,,,,,,,F,,,,TR
5844,N392SW,SEA,OAK,,,,,,,F,,,,TL
5845,N444WN,PDX,OAK,,,,,,,F,,,,TR
5846,N402AS,PDX,SAN,,,,,,,F,,,,TL
5847,N3JCAA,SEA,ORD,,,,,,F,,,,,TR
5848,N37255,SEA,DEN,,,,,,F,,,,,TR
5849,N622AS,PDX,SFO,,,,,,,F,,,,TR
5850,N626AS,SEA,SNA,,,,,,,F,,,,TL
5851,N3FGAA,SEA,DFW,,,,,,F,F,,,,TR
5852,N538AS,PDX,OGG,,,,,,,F,,,,TL
5853,N38459,SEA,EWR,,,,,,F,,,,,TL
5854,N517AS,PDX,ANC,,,,,,,F,,,,TL
5855,N531AS,SEA,OGG,,,,,,,F,,,,TL
5856,N38459,PDX,ORD,,,,,,F,,,,,TR
5857,N203FR,SEA,DEN,,,,,,,F,,,,TR
5858,N272WN,PDX,OAK,,,,,,,,,,,TR
5859,N285WN,PDX,SAN,,,,,,,,,,,TR
5860,N669DN,SEA,SLC,,,,,,,F,,,,TR
5861,N527VA,PDX,SFO,,,,,,,F,,,,TL
5862,N592AS,PDX,ANC,,,,,,,F,,,,TL
5863,N612AS,SEA,DEN,,,,,,,F,,,,TR
5864,N3739P,SEA,LAX,,,,,,,,,,,TR
5865,N528VA,SEA,SFO,,,,,,,F,,,,TL
5866,N805DN,PDX,ATL,,,,,,,F,,,,TL
5867,N600WN,PDX,OAK,,,,,,,,,,,TR
5868,N564AS,SEA,LAS,,,,,,,F,,,,TR
5869,N588AS,SEA,OGG,,,,,,,F,,,,TL
5870,N803DN,SEA,MSP,,,,,,,F,,,,TR
5871,N38417,PDX,ORD,,,,,,F,,,,,TR
5872,N808DN,SEA,DTW,,,,,,,,,,,TR
5873,N395HA,SEA,HNL,,,,,,,F,,,,TL
5874,N807SK,SEA,SJC,,,,,,,,,,,TR
5875,N224AG,SEA,FAT,,,,,,,,,,,TR
5876,N512AS,SEA,OAK,,,,,,,F,,,,TR
5877,N655DL,SEA,SLC,,,,,,,,,,,TS
5878,N585UA,SEA,SFO,,,,,,,F,,,,TL
5879,N719SW,SEA,SLC,,,,,,,,,,,TR
